,year,week,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_name,home_team_city,away_team_name,away_team_city
78,2000,6,Chicago Bears,New Orleans Saints,New Orleans Saints,,Sun,October 8,1:03PM,31,10,403,1,245,3,Bears,Chicago,Saints,New Orleans
79,2000,6,San Francisco 49ers,Oakland Raiders,Oakland Raiders,,Sun,October 8,4:00PM,34,28,471,2,472,2,49ers,San Francisco,Raiders,Oakland
80,2000,6,Atlanta Falcons,New York Giants,New York Giants,,Sun,October 8,4:05PM,13,6,255,2,238,3,Falcons,Atlanta,Giants,New York
81,2000,6,Carolina Panthers,Seattle Seahawks,Carolina Panthers,,Sun,October 8,4:15PM,26,3,447,1,209,0,Panthers,Carolina,Seahawks,Seattle
82,2000,6,San Diego Chargers,Denver Broncos,Denver Broncos,,Sun,October 8,4:15PM,21,7,304,0,277,3,Chargers,San Diego,Broncos,Denver
83,2000,6,Arizona Cardinals,Cleveland Browns,Arizona Cardinals,,Sun,October 8,4:15PM,29,21,315,2,240,0,Cardinals,Arizona,Browns,Cleveland
84,2000,6,Jacksonville Jaguars,Baltimore Ravens,Baltimore Ravens,,Sun,October 8,8:35PM,15,10,194,1,348,6,Jaguars,Jacksonville,Ravens,Baltimore
85,2000,6,Minnesota Vikings,Tampa Bay Buccaneers,Minnesota Vikings,,Mon,October 9,9:10PM,30,23,322,2,346,3,Vikings,Minnesota,Buccaneers,Tampa Bay
86,2000,7,Kansas City Chiefs,Oakland Raiders,Oakland Raiders,,Sun,October 15,1:00PM,20,17,391,1,346,1,Chiefs,Kansas City,Raiders,Oakland
87,2000,7,Buffalo Bills,San Diego Chargers,Buffalo Bills,,Sun,October 15,1:01PM,27,24,424,2,303,4,Bills,Buffalo,Chargers,San Diego
88,2000,7,Pittsburgh Steelers,Cincinnati Bengals,Pittsburgh Steelers,,Sun,October 15,1:01PM,15,0,274,0,232,3,Steelers,Pittsburgh,Bengals,Cincinnati
89,2000,7,Washington Redskins,Baltimore Ravens,Washington Redskins,,Sun,October 15,1:01PM,10,3,246,2,199,1,Redskins,Washington,Ravens,Baltimore
90,2000,7,St. Louis Rams,Atlanta Falcons,St. Louis Rams,,Sun,October 15,1:02PM,45,29,529,1,259,1,Rams,St. Louis,Falcons,Atlanta
91,2000,7,New York Giants,Dallas Cowboys,New York Giants,,Sun,October 15,1:03PM,19,14,311,0,269,5,Giants,New York,Cowboys,Dallas
92,2000,7,New Orleans Saints,Carolina Panthers,New Orleans Saints,,Sun,October 15,1:04PM,24,6,397,3,141,2,Saints,New Orleans,Panthers,Carolina
93,2000,7,Seattle Seahawks,Indianapolis Colts,Indianapolis Colts,,Sun,October 15,4:05PM,37,24,499,1,317,3,Seahawks,Seattle,Colts,Indianapolis
94,2000,7,New England Patriots,New York Jets,New York Jets,,Sun,October 15,4:05PM,34,17,294,1,249,6,Patriots,New England,Jets,New York
95,2000,7,Denver Broncos,Cleveland Browns,Denver Broncos,,Sun,October 15,4:06PM,44,10,499,0,278,3,Broncos,Denver,Browns,Cleveland
96,2000,7,Arizona Cardinals,Philadelphia Eagles,Philadelphia Eagles,,Sun,October 15,4:15PM,33,14,391,0,305,3,Cardinals,Arizona,Eagles,Philadelphia
97,2000,7,Green Bay Packers,San Francisco 49ers,Green Bay Packers,,Sun,October 15,4:15PM,31,28,378,0,414,0,Packers,Green Bay,49ers,San Francisco
